"c" "sigma" "acc"
0.03125 3.0517578125e-05 0
0.03125 6.103515625e-05 0
0.03125 0.0001220703125 0
0.03125 0.000244140625 0
0.03125 0.00048828125 0
0.03125 0.0009765625 0
0.03125 0.001953125 0
0.03125 0.00390625 0
0.03125 0.0078125 0
0.03125 0.015625 0
0.03125 0.03125 0
0.03125 0.0625 0.326666666666666
0.03125 0.125 0.333333333333333
0.03125 0.25 0.566666666666667
0.03125 0.5 0.553333333333334
0.03125 1 0.326666666666666
0.03125 2 0
0.03125 4 0
0.03125 8 0
0.0625 3.0517578125e-05 0
0.0625 6.103515625e-05 0
0.0625 0.0001220703125 0
0.0625 0.000244140625 0
0.0625 0.00048828125 0
0.0625 0.0009765625 0
0.0625 0.001953125 0
0.0625 0.00390625 0
0.0625 0.0078125 0
0.0625 0.015625 0.0266666666666643
0.0625 0.03125 0.333333333333333
0.0625 0.0625 0.693333333333334
0.0625 0.125 0.84
0.0625 0.25 0.886666666666667
0.0625 0.5 0.92
0.0625 1 0.933333333333333
0.0625 2 0.693333333333334
0.0625 4 0.0999999999999981
0.0625 8 0
0.125 3.0517578125e-05 0
0.125 6.103515625e-05 0
0.125 0.0001220703125 0
0.125 0.000244140625 0
0.125 0.00048828125 0
0.125 0.0009765625 0
0.125 0.001953125 0
0.125 0.00390625 0
0.125 0.0078125 0.0666666666666645
0.125 0.015625 0.38
0.125 0.03125 0.826666666666667
0.125 0.0625 0.873333333333333
0.125 0.125 0.886666666666667
0.125 0.25 0.94
0.125 0.5 0.946666666666667
0.125 1 0.933333333333333
0.125 2 0.926666666666667
0.125 4 0.82
0.125 8 0.0999999999999981
0.25 3.0517578125e-05 0
0.25 6.103515625e-05 0
0.25 0.0001220703125 0
0.25 0.000244140625 0
0.25 0.00048828125 0
0.25 0.0009765625 0
0.25 0.001953125 0
0.25 0.00390625 0.126666666666665
0.25 0.0078125 0.413333333333333
0.25 0.015625 0.846666666666667
0.25 0.03125 0.88
0.25 0.0625 0.9
0.25 0.125 0.953333333333333
0.25 0.25 0.96
0.25 0.5 0.953333333333333
0.25 1 0.946666666666667
0.25 2 0.933333333333333
0.25 4 0.906666666666667
0.25 8 0.786666666666667
0.5 3.0517578125e-05 0
0.5 6.103515625e-05 0
0.5 0.0001220703125 0
0.5 0.000244140625 0
0.5 0.00048828125 0
0.5 0.0009765625 0
0.5 0.001953125 0.146666666666665
0.5 0.00390625 0.446666666666667
0.5 0.0078125 0.86
0.5 0.015625 0.88
0.5 0.03125 0.933333333333333
0.5 0.0625 0.96
0.5 0.125 0.953333333333333
0.5 0.25 0.966666666666667
0.5 0.5 0.953333333333333
0.5 1 0.946666666666667
0.5 2 0.94
0.5 4 0.933333333333333
0.5 8 0.873333333333333
1 3.0517578125e-05 0
1 6.103515625e-05 0
1 0.0001220703125 0
1 0.000244140625 0
1 0.00048828125 0
1 0.0009765625 0.166666666666665
1 0.001953125 0.453333333333334
1 0.00390625 0.86
1 0.0078125 0.88
1 0.015625 0.94
1 0.03125 0.96
1 0.0625 0.953333333333333
1 0.125 0.966666666666667
1 0.25 0.966666666666667
1 0.5 0.966666666666667
1 1 0.946666666666667
1 2 0.946666666666667
1 4 0.94
1 8 0.9
2 3.0517578125e-05 0
2 6.103515625e-05 0
2 0.0001220703125 0
2 0.000244140625 0
2 0.00048828125 0.166666666666665
2 0.0009765625 0.466666666666667
2 0.001953125 0.846666666666667
2 0.00390625 0.88
2 0.0078125 0.953333333333333
2 0.015625 0.96
2 0.03125 0.966666666666667
2 0.0625 0.953333333333333
2 0.125 0.973333333333333
2 0.25 0.96
2 0.5 0.953333333333333
2 1 0.94
2 2 0.94
2 4 0.933333333333333
2 8 0.913333333333333
4 3.0517578125e-05 0
4 6.103515625e-05 0
4 0.0001220703125 0
4 0.000244140625 0.173333333333332
4 0.00048828125 0.466666666666667
4 0.0009765625 0.846666666666667
4 0.001953125 0.886666666666667
4 0.00390625 0.953333333333333
4 0.0078125 0.96
4 0.015625 0.96
4 0.03125 0.953333333333333
4 0.0625 0.98
4 0.125 0.96
4 0.25 0.953333333333333
4 0.5 0.953333333333333
4 1 0.933333333333333
4 2 0.933333333333333
4 4 0.933333333333333
4 8 0.913333333333333
8 3.0517578125e-05 0
8 6.103515625e-05 0
8 0.0001220703125 0.173333333333332
8 0.000244140625 0.466666666666667
8 0.00048828125 0.846666666666667
8 0.0009765625 0.886666666666667
8 0.001953125 0.953333333333333
8 0.00390625 0.96
8 0.0078125 0.96
8 0.015625 0.96
8 0.03125 0.973333333333333
8 0.0625 0.953333333333333
8 0.125 0.96
8 0.25 0.966666666666667
8 0.5 0.946666666666667
8 1 0.94
8 2 0.933333333333333
8 4 0.933333333333333
8 8 0.913333333333333
16 3.0517578125e-05 0
16 6.103515625e-05 0.173333333333332
16 0.0001220703125 0.466666666666667
16 0.000244140625 0.846666666666667
16 0.00048828125 0.886666666666667
16 0.0009765625 0.953333333333333
16 0.001953125 0.96
16 0.00390625 0.96
16 0.0078125 0.96
16 0.015625 0.973333333333333
16 0.03125 0.946666666666667
16 0.0625 0.96
16 0.125 0.966666666666667
16 0.25 0.96
16 0.5 0.96
16 1 0.94
16 2 0.94
16 4 0.933333333333333
16 8 0.913333333333333
32 3.0517578125e-05 0.173333333333332
32 6.103515625e-05 0.473333333333334
32 0.0001220703125 0.846666666666667
32 0.000244140625 0.893333333333333
32 0.00048828125 0.953333333333333
32 0.0009765625 0.96
32 0.001953125 0.966666666666667
32 0.00390625 0.96
32 0.0078125 0.973333333333333
32 0.015625 0.946666666666667
32 0.03125 0.966666666666667
32 0.0625 0.966666666666667
32 0.125 0.96
32 0.25 0.946666666666667
32 0.5 0.946666666666667
32 1 0.933333333333333
32 2 0.94
32 4 0.933333333333333
32 8 0.913333333333333
64 3.0517578125e-05 0.473333333333334
64 6.103515625e-05 0.846666666666667
64 0.0001220703125 0.893333333333333
64 0.000244140625 0.953333333333333
64 0.00048828125 0.96
64 0.0009765625 0.966666666666667
64 0.001953125 0.96
64 0.00390625 0.973333333333333
64 0.0078125 0.953333333333333
64 0.015625 0.966666666666667
64 0.03125 0.966666666666667
64 0.0625 0.973333333333333
64 0.125 0.953333333333333
64 0.25 0.946666666666667
64 0.5 0.94
64 1 0.933333333333333
64 2 0.94
64 4 0.933333333333333
64 8 0.913333333333333
128 3.0517578125e-05 0.846666666666667
128 6.103515625e-05 0.893333333333333
128 0.0001220703125 0.953333333333333
128 0.000244140625 0.96
128 0.00048828125 0.966666666666667
128 0.0009765625 0.96
128 0.001953125 0.973333333333333
128 0.00390625 0.96
128 0.0078125 0.966666666666667
128 0.015625 0.966666666666667
128 0.03125 0.973333333333333
128 0.0625 0.953333333333333
128 0.125 0.953333333333333
128 0.25 0.933333333333333
128 0.5 0.933333333333333
128 1 0.933333333333333
128 2 0.94
128 4 0.933333333333333
128 8 0.913333333333333
256 3.0517578125e-05 0.893333333333333
256 6.103515625e-05 0.953333333333333
256 0.0001220703125 0.96
256 0.000244140625 0.966666666666667
256 0.00048828125 0.96
256 0.0009765625 0.973333333333333
256 0.001953125 0.96
256 0.00390625 0.966666666666667
256 0.0078125 0.966666666666667
256 0.015625 0.966666666666667
256 0.03125 0.953333333333333
256 0.0625 0.953333333333333
256 0.125 0.953333333333333
256 0.25 0.933333333333333
256 0.5 0.933333333333333
256 1 0.933333333333333
256 2 0.94
256 4 0.933333333333333
256 8 0.913333333333333
512 3.0517578125e-05 0.953333333333333
512 6.103515625e-05 0.96
512 0.0001220703125 0.966666666666667
512 0.000244140625 0.96
512 0.00048828125 0.973333333333333
512 0.0009765625 0.96
512 0.001953125 0.966666666666667
512 0.00390625 0.966666666666667
512 0.0078125 0.966666666666667
512 0.015625 0.96
512 0.03125 0.953333333333333
512 0.0625 0.953333333333333
512 0.125 0.94
512 0.25 0.94
512 0.5 0.933333333333333
512 1 0.933333333333333
512 2 0.94
512 4 0.933333333333333
512 8 0.913333333333333
1024 3.0517578125e-05 0.96
1024 6.103515625e-05 0.966666666666667
1024 0.0001220703125 0.96
1024 0.000244140625 0.973333333333333
1024 0.00048828125 0.96
1024 0.0009765625 0.966666666666667
1024 0.001953125 0.966666666666667
1024 0.00390625 0.966666666666667
1024 0.0078125 0.96
1024 0.015625 0.946666666666667
1024 0.03125 0.953333333333333
1024 0.0625 0.946666666666667
1024 0.125 0.933333333333333
1024 0.25 0.933333333333333
1024 0.5 0.933333333333333
1024 1 0.933333333333333
1024 2 0.94
1024 4 0.933333333333333
1024 8 0.913333333333333
2048 3.0517578125e-05 0.966666666666667
2048 6.103515625e-05 0.96
2048 0.0001220703125 0.973333333333333
2048 0.000244140625 0.96
2048 0.00048828125 0.966666666666667
2048 0.0009765625 0.966666666666667
2048 0.001953125 0.966666666666667
2048 0.00390625 0.96
2048 0.0078125 0.953333333333333
2048 0.015625 0.953333333333333
2048 0.03125 0.953333333333333
2048 0.0625 0.946666666666667
2048 0.125 0.933333333333333
2048 0.25 0.933333333333333
2048 0.5 0.933333333333333
2048 1 0.933333333333333
2048 2 0.94
2048 4 0.933333333333333
2048 8 0.913333333333333
4096 3.0517578125e-05 0.96
4096 6.103515625e-05 0.973333333333333
4096 0.0001220703125 0.96
4096 0.000244140625 0.966666666666667
4096 0.00048828125 0.966666666666667
4096 0.0009765625 0.966666666666667
4096 0.001953125 0.96
4096 0.00390625 0.953333333333333
4096 0.0078125 0.953333333333333
4096 0.015625 0.953333333333333
4096 0.03125 0.953333333333333
4096 0.0625 0.94
4096 0.125 0.926666666666667
4096 0.25 0.933333333333333
4096 0.5 0.933333333333333
4096 1 0.933333333333333
4096 2 0.94
4096 4 0.933333333333333
4096 8 0.913333333333333
8192 3.0517578125e-05 0.973333333333333
8192 6.103515625e-05 0.96
8192 0.0001220703125 0.966666666666667
8192 0.000244140625 0.966666666666667
8192 0.00048828125 0.96
8192 0.0009765625 0.96
8192 0.001953125 0.96
8192 0.00390625 0.953333333333333
8192 0.0078125 0.953333333333333
8192 0.015625 0.953333333333333
8192 0.03125 0.946666666666667
8192 0.0625 0.94
8192 0.125 0.926666666666667
8192 0.25 0.933333333333333
8192 0.5 0.933333333333333
8192 1 0.933333333333333
8192 2 0.94
8192 4 0.933333333333333
8192 8 0.913333333333333
16384 3.0517578125e-05 0.96
16384 6.103515625e-05 0.966666666666667
16384 0.0001220703125 0.966666666666667
16384 0.000244140625 0.96
16384 0.00048828125 0.96
16384 0.0009765625 0.96
16384 0.001953125 0.96
16384 0.00390625 0.96
16384 0.0078125 0.96
16384 0.015625 0.953333333333333
16384 0.03125 0.953333333333333
16384 0.0625 0.926666666666667
16384 0.125 0.926666666666667
16384 0.25 0.933333333333333
16384 0.5 0.933333333333333
16384 1 0.933333333333333
16384 2 0.94
16384 4 0.933333333333333
16384 8 0.913333333333333
32768 3.0517578125e-05 0.966666666666667
32768 6.103515625e-05 0.966666666666667
32768 0.0001220703125 0.96
32768 0.000244140625 0.96
32768 0.00048828125 0.966666666666667
32768 0.0009765625 0.96
32768 0.001953125 0.966666666666667
32768 0.00390625 0.966666666666667
32768 0.0078125 0.953333333333333
32768 0.015625 0.953333333333333
32768 0.03125 0.94
32768 0.0625 0.933333333333333
32768 0.125 0.926666666666667
32768 0.25 0.933333333333333
32768 0.5 0.933333333333333
32768 1 0.933333333333333
32768 2 0.94
32768 4 0.933333333333333
32768 8 0.913333333333333
